subject,trial,blink,pupil,IP_START_TIME,sample_message,TIMESTAMP,trial,time
BZ4min,1,0,848.5,175027414,NA,175027414,1,0
BZ4min,1,0,848.5,175027414,NA,175027416,1,2
BZ4min,1,0,850,175027414,NA,175027418,1,4
BZ4min,1,0,851,175027414,NA,175027420,1,6
BZ4min,1,0,851.5,175027414,NA,175027422,1,8
BZ4min,1,0,852.5,175027414,NA,175027424,1,10
BZ4min,1,0,852,175027414,NA,175027426,1,12
BZ4min,1,0,853.5,175027414,NA,175027428,1,14
BZ4min,1,0,854.5,175027414,NA,175027430,1,16
BZ4min,1,0,852.5,175027414,NA,175027432,1,18
BZ4min,1,0,853,175027414,NA,175027434,1,20
BZ4min,1,0,855.5,175027414,NA,175027436,1,22
BZ4min,1,0,855.5,175027414,NA,175027438,1,24
BZ4min,1,0,856,175027414,NA,175027440,1,26
BZ4min,1,0,855,175027414,NA,175027442,1,28
BZ4min,1,0,855,175027414,NA,175027444,1,30
BZ4min,1,0,857,175027414,NA,175027446,1,32
BZ4min,1,0,858.5,175027414,NA,175027448,1,34
BZ4min,1,0,859.5,175027414,NA,175027450,1,36
BZ4min,1,0,860,175027414,NA,175027452,1,38
BZ4min,1,0,860,175027414,NA,175027454,1,40
BZ4min,1,0,860,175027414,NA,175027456,1,42
BZ4min,1,0,860,175027414,NA,175027458,1,44
BZ4min,1,0,859.5,175027414,NA,175027460,1,46
BZ4min,1,0,862,175027414,NA,175027462,1,48
BZ4min,1,0,863,175027414,NA,175027464,1,50
BZ4min,1,0,862,175027414,NA,175027466,1,52
BZ4min,1,0,862,175027414,NA,175027468,1,54
BZ4min,1,0,862,175027414,NA,175027470,1,56
BZ4min,1,0,862,175027414,NA,175027472,1,58
BZ4min,1,0,862.5,175027414,NA,175027474,1,60
BZ4min,1,0,863.5,175027414,NA,175027476,1,62
BZ4min,1,0,866,175027414,NA,175027478,1,64
BZ4min,1,0,867,175027414,NA,175027480,1,66
BZ4min,1,0,866.5,175027414,NA,175027482,1,68
BZ4min,1,0,866,175027414,NA,175027484,1,70
BZ4min,1,0,868,175027414,NA,175027486,1,72
BZ4min,1,0,870,175027414,NA,175027488,1,74
BZ4min,1,0,870.5,175027414,NA,175027490,1,76
BZ4min,1,0,871,175027414,NA,175027492,1,78
BZ4min,1,0,870,175027414,NA,175027494,1,80
BZ4min,1,0,870.5,175027414,NA,175027496,1,82
BZ4min,1,0,871,175027414,NA,175027498,1,84
BZ4min,1,0,872.5,175027414,NA,175027500,1,86
BZ4min,1,0,873,175027414,NA,175027502,1,88
BZ4min,1,0,871.5,175027414,NA,175027504,1,90
BZ4min,1,0,870,175027414,NA,175027506,1,92
BZ4min,1,0,872,175027414,NA,175027508,1,94
BZ4min,1,0,874,175027414,NA,175027510,1,96
BZ4min,1,0,875.5,175027414,NA,175027512,1,98
BZ4min,1,0,878.5,175027414,NA,175027514,1,100
BZ4min,1,0,877,175027414,NA,175027516,1,102
BZ4min,1,0,875.5,175027414,NA,175027518,1,104
BZ4min,1,0,877,175027414,NA,175027520,1,106
BZ4min,1,0,878.5,175027414,NA,175027522,1,108
BZ4min,1,0,879,175027414,NA,175027524,1,110
BZ4min,1,0,880,175027414,NA,175027526,1,112
BZ4min,1,0,879,175027414,NA,175027528,1,114
BZ4min,1,0,877.5,175027414,NA,175027530,1,116
BZ4min,1,0,879.5,175027414,NA,175027532,1,118
BZ4min,1,0,881.5,175027414,NA,175027534,1,120
BZ4min,1,0,881.5,175027414,NA,175027536,1,122
BZ4min,1,0,883,175027414,NA,175027538,1,124
BZ4min,1,0,884,175027414,NA,175027540,1,126
BZ4min,1,0,887,175027414,NA,175027542,1,128
BZ4min,1,0,887,175027414,NA,175027544,1,130
BZ4min,1,0,888.5,175027414,NA,175027546,1,132
BZ4min,1,0,889.5,175027414,NA,175027548,1,134
BZ4min,1,0,888.5,175027414,NA,175027550,1,136
BZ4min,1,0,890,175027414,NA,175027552,1,138
BZ4min,1,0,892,175027414,NA,175027554,1,140
BZ4min,1,0,892,175027414,Simple_Start,175027556,1,142
BZ4min,1,0,891.5,175027414,NA,175027558,1,144
BZ4min,1,0,892.5,175027414,NA,175027560,1,146
BZ4min,1,0,894,175027414,NA,175027562,1,148
BZ4min,1,0,894.5,175027414,NA,175027564,1,150
BZ4min,1,0,893,175027414,NA,175027566,1,152
BZ4min,1,0,893.5,175027414,NA,175027568,1,154
BZ4min,1,0,894.5,175027414,NA,175027570,1,156
BZ4min,1,0,893,175027414,NA,175027572,1,158
BZ4min,1,0,893,175027414,NA,175027574,1,160
BZ4min,1,0,894,175027414,Fixation,175027576,1,162
BZ4min,1,0,896,175027414,NA,175027578,1,164
BZ4min,1,0,897,175027414,NA,175027580,1,166
BZ4min,1,0,899.5,175027414,NA,175027582,1,168
BZ4min,1,0,898.5,175027414,NA,175027584,1,170
BZ4min,1,0,898,175027414,NA,175027586,1,172
BZ4min,1,0,897.5,175027414,NA,175027588,1,174
BZ4min,1,0,900,175027414,NA,175027590,1,176
BZ4min,1,0,901.5,175027414,NA,175027592,1,178
BZ4min,1,0,901,175027414,NA,175027594,1,180
BZ4min,1,0,903.5,175027414,NA,175027596,1,182
BZ4min,1,0,904.5,175027414,NA,175027598,1,184
BZ4min,1,0,904.5,175027414,NA,175027600,1,186
BZ4min,1,0,904,175027414,NA,175027602,1,188
BZ4min,1,0,905.5,175027414,NA,175027604,1,190
BZ4min,1,0,906.5,175027414,NA,175027606,1,192
BZ4min,1,0,907.5,175027414,NA,175027608,1,194
BZ4min,1,0,908.5,175027414,NA,175027610,1,196
BZ4min,1,0,908.5,175027414,NA,175027612,1,198
BZ4min,1,0,908.5,175027414,NA,175027614,1,200
BZ4min,1,0,908,175027414,NA,175027616,1,202
BZ4min,1,0,909.5,175027414,NA,175027618,1,204
BZ4min,1,0,911,175027414,NA,175027620,1,206
BZ4min,1,0,912,175027414,NA,175027622,1,208
BZ4min,1,0,914,175027414,NA,175027624,1,210
BZ4min,1,0,915.5,175027414,NA,175027626,1,212
BZ4min,1,0,914.5,175027414,NA,175027628,1,214
BZ4min,1,0,915.5,175027414,NA,175027630,1,216
BZ4min,1,0,917.5,175027414,NA,175027632,1,218
BZ4min,1,0,917,175027414,NA,175027634,1,220
BZ4min,1,0,918.5,175027414,NA,175027636,1,222
BZ4min,1,0,919,175027414,NA,175027638,1,224
BZ4min,1,0,919,175027414,NA,175027640,1,226
BZ4min,1,0,918.5,175027414,NA,175027642,1,228
BZ4min,1,0,918,175027414,NA,175027644,1,230
BZ4min,1,0,915.5,175027414,NA,175027646,1,232
BZ4min,1,0,916,175027414,NA,175027648,1,234
BZ4min,1,0,915,175027414,NA,175027650,1,236
BZ4min,1,0,914.5,175027414,NA,175027652,1,238
BZ4min,1,0,914.5,175027414,NA,175027654,1,240
BZ4min,1,0,916,175027414,NA,175027656,1,242
BZ4min,1,0,920,175027414,NA,175027658,1,244
BZ4min,1,0,920,175027414,NA,175027660,1,246
BZ4min,1,0,918.5,175027414,NA,175027662,1,248
BZ4min,1,0,919,175027414,NA,175027664,1,250
BZ4min,1,0,920,175027414,NA,175027666,1,252
BZ4min,1,0,920,175027414,NA,175027668,1,254
BZ4min,1,0,921,175027414,NA,175027670,1,256
BZ4min,1,0,922,175027414,NA,175027672,1,258
BZ4min,1,0,921,175027414,NA,175027674,1,260
BZ4min,1,0,920,175027414,NA,175027676,1,262
